record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-25-1-c-189-3-1,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-1","7/8/2019","5.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-3-1,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-1","7/15/2019","33.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-189-3-2,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-2","7/8/2019","6.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-3-2,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-2","7/15/2019","33.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-189-3-3,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-3","7/8/2019","16.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-3-3,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-3","7/15/2019","36.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-189-3-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-4","7/8/2019","3.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-3-4,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-4","7/15/2019","35.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-189-3-5,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-5","7/8/2019","3.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-25-1-c-196-3-5,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-5","7/15/2019","32.6","0","","","7","0","0","7","2",all_arm_7
