record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-57-1-c-179-5-1-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-1","6/28/2019","24.2","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-5-1-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-1","7/5/2019","24.6","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-5-1-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-1","7/12/2019","23.6","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-5-1-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-1","7/19/2019","24.7","","","","","","","2",all_arm_7
1806-ALL-57-1-c-207-5-1-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-1","7/26/2019","26.3","","","","","","","2",all_arm_7
1806-ALL-57-1-c-179-5-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-2","6/28/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-5-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-2","7/5/2019","24.4","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-5-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-2","7/12/2019","24.7","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-5-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-2","7/19/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-57-1-c-207-5-2-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-2","7/26/2019","25.9","","","","","","","2",all_arm_7
1806-ALL-57-1-c-179-5-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-3","6/28/2019","23.1","","","","","","","2",all_arm_7
1806-ALL-57-1-c-186-5-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-3","7/5/2019","23.8","","","","","","","2",all_arm_7
1806-ALL-57-1-c-193-5-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-3","7/12/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-57-1-c-200-5-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-3","7/19/2019","22.1","","","","","","","2",all_arm_7
1806-ALL-57-1-c-207-5-3-weight,"Data - ALL","1806-ALL-57-1","1806","5 mg/kg","once a week x 3","6/4/2019","7/2/2019","7/16/2019","6/20/2019","ALL-57","183","Control (A)","Vehicle"," 5-3","7/26/2019","24","","","","","","","2",all_arm_7
