record_id,record_description,st_template_version,st_panel_code,tumor,dose,schedule,st_passage,transplant_date,treatment_date,treatment_end_date,technician,study_end_date,group,dataset,dataset_date,day,mouse,diameter_x,diameter_y,unexpect_event,event_comment,reason,status,weight,cage_a_wt,cage_b_wt,solid_tumor_data_complete,record_complete,redcap_event_name
1816-OS2-1-A0-A1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,A1,5.2,5.1,,,,,18,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-A2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,A2,5.8,5.7,,,,,19,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-A3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,A3,5.6,5.4,,,,,21,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-A4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,A4,5.6,5.3,,,,,19,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-A5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,A5,6,5.7,,,,,19,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-B1,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,B1,6.5,6,,,,,20,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-B2,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,B2,6.1,4.5,,,,,21,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-B3,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,B3,5.6,5.4,,,,,18,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-B4,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,B4,5.6,5.4,,,,,19,96,99,2,2,sarcoma_and_renal_arm_6
1816-OS2-1-A0-B5,Data - Solid Tumor ,Version 1.4,1816-OS2-1,OS2,5ml/kg ip,Day 0x1,13,12/2/2020,12/15/2020,12/15/2020,Yizheng,3/16/2021,A,Time point 1,12/15/2020,0,B5,6,5.5,,,,,21,96,99,2,2,sarcoma_and_renal_arm_6
