record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-83-1-c-233-7-1,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","8/21/2019","1.8","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-240-7-1,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","8/28/2019","7.3","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-247-7-1,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","9/4/2019","15.9","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-233-7-2,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","8/21/2019","2.1","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-240-7-2,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","8/28/2019","6.2","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-247-7-2,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","9/4/2019","21.1","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-233-7-3,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","8/21/2019","1.9","3","moribund   - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-240-7-3,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","8/28/2019","4.8","3","moribund   - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-247-7-3,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","9/4/2019","7.5","3","moribund   - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-233-7-4,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","8/21/2019","5","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-240-7-4,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","8/28/2019","8.4","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-247-7-4,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","9/4/2019","24.1","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
1806-ALL-83-1-c-233-7-5,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-5","8/21/2019","3","3","FD - leukaemia related event","9/9/2019","7","0","0","7","2",all_arm_7
