record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-2-1-c-186-1-2-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-2","7/5/2019","24.1","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-1-2-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-2","7/12/2019","25.3","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-1-2-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-2","7/19/2019","27.4","","","","","","","2",all_arm_7
1806-ALL-2-1-c-207-1-2-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-2","7/26/2019","26.4","","","","","","","2",all_arm_7
1806-ALL-2-1-c-214-1-2-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-2","8/2/2019","26.3","","","","","","","2",all_arm_7
1806-ALL-2-1-c-186-1-3-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-3","7/5/2019","24.3","","","","","","","2",all_arm_7
1806-ALL-2-1-c-193-1-3-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-3","7/12/2019","24","","","","","","","2",all_arm_7
1806-ALL-2-1-c-200-1-3-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-3","7/19/2019","24.4","","","","","","","2",all_arm_7
1806-ALL-2-1-c-207-1-3-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-3","7/26/2019","23.9","","","","","","","2",all_arm_7
1806-ALL-2-1-c-214-1-3-weight,"Data - ALL","1806-ALL-2-1","1806","5 mg/kg","once a week x 3","6/5/2019","7/8/2019","7/22/2019","6/20/2019","ALL-2","189","Control (A)","Vehicle"," 1-3","8/2/2019","24.6","","","","","","","2",all_arm_7
