record_id,cns_panel_code,mouse_number,strain,sex,dob,cns_model_id,passage,cell_number,volume,site_of_injection,date_of_injection,cns_group,treatment_drug,treatment_scheme,date_treatment_started,date_treatment_ended,route_of_administration,date_ended,outcome,visible_tumor,unexpected_event,survival_time_days,survival_counted,user,cns_data_complete,record_complete,redcap_event_name
1817-IC-6634GBM-1-3064,1817-IC-6634GBM-1,3064,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/24/2021,found dead,No,,69,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3065,1817-IC-6634GBM-1,3065,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,6/1/2021,sick_euthanized,Yes,,77,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3076,1817-IC-6634GBM-1,3076,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/22/2021,sick_euthanized,Yes,,67,yes,YD/DY2,2,2,cns_arm_8
1817-IC-6634GBM-1-3079,1817-IC-6634GBM-1,3079,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/23/2021,sick_euthanized,Yes,,68,yes,YD/ml2,2,2,cns_arm_8
1817-IC-6634GBM-1-3080,1817-IC-6634GBM-1,3080,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,6/4/2021,sick_euthanized,Yes,,80,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3088,1817-IC-6634GBM-1,3088,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/11/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,6/7/2021,sick_euthanized,Yes,,83,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3063,1817-IC-6634GBM-1,3063,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/25/2021,sick_euthanized,No,,70,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3078,1817-IC-6634GBM-1,3078,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/25/2021,sick_euthanized,Yes,,70,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3077,1817-IC-6634GBM-1,3077,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/28/2021,sick_euthanized,Yes,,73,yes,YD2,2,2,cns_arm_8
1817-IC-6634GBM-1-3062,1817-IC-6634GBM-1,3062,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/20/2021,IC-6634GBM-rIV-TC2,4,100000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/28/2021,sick_euthanized,Yes,,73,yes,YD2,2,2,cns_arm_8
